,R,Q,A
4136,-2.1648149404566372,0,1
8823,0.07496251895195094,1,1
801,2.2360086330449027,0,1
5948,4.309076663452827,2,0
5158,-3.851114450944274,1,1
9532,3.671145067784292,1,0
3398,3.364107749629291,1,1
5897,4.558887793105619,1,0
4918,5.71631685915392,2,0
166,9.00143141616952,1,1
7430,-4.200744341391972,2,1
3286,2.7065327646392596,2,0
2178,-1.9740036626423603,1,1
4607,2.541533271301759,0,1
521,1.0293859401502985,0,1
7984,-3.6285121262021063,0,1
4252,-0.898055241726591,1,1
1842,3.9798493322861326,1,1
3777,2.619616389566753,2,0
3836,9.347357575543871,1,0
9292,-0.5537987839587633,3,1
9194,-3.024041275291823,2,1
1159,7.708615996245248,2,0
5807,2.680985299595214,3,0
4681,-3.654288246525678,2,1
3568,9.934383925431078,1,0
8968,10.8541964048755,1,0
8714,6.1540543177685585,3,1
6316,2.2483276939216736,1,1
4803,5.589023185580591,1,0
2356,-4.430440183274004,1,1
8132,5.4555985200712565,2,0
6098,15.210217450137673,1,0
213,6.722774377717734,1,0
1176,-0.8341339052011785,1,1
8944,-0.7020580017120324,0,1
1286,2.7371634418834176,2,1
7762,0.8292073392106207,2,1
2753,-3.3525482105886177,2,1
3012,3.183749554975255,1,0
5296,-4.3117347796804895,1,1
1118,0.87241233741734,2,1
3106,-0.6242094245976615,2,1
5462,2.4205107777055046,2,0
2880,-3.1218436082711127,2,1
2035,-0.3172800671994933,1,1
6489,-4.080201141916743,2,1
180,2.432308355434266,2,1
1374,5.413225713853432,0,1
939,3.63102693585558,1,0
1441,-0.1640271595604812,2,1
2828,14.684335413416953,2,0
5608,16.393996284204377,2,0
6366,5.869316813997997,1,1
6070,17.974865717021192,1,1
2812,-2.2857714691070163,2,1
1435,-0.20292650169830306,1,1
7751,-3.221741179525371,0,1
8154,2.6417720430543277,1,1
1078,3.405703323665299,0,0
6828,-0.7129615150308783,2,1
2226,14.097997723611577,2,0
2227,8.794458828351695,1,0
4215,2.04686308242231,0,0
787,1.3869455890758067,2,0
79,5.270271880824442,1,0
9186,14.385119453654873,2,1
4648,12.614164328276473,2,0
85,-3.4125858290975195,1,1
535,8.27581222746131,1,0
1140,-1.1654499765295854,1,1
4377,10.719284106705562,1,0
9583,2.6918280240503014,2,0
4576,8.771693909115347,0,0
4388,-1.3321723758196695,2,1
7666,2.1781650293604162,2,0
8949,1.040299577879864,1,1
8016,-2.158904562453854,2,1
1274,-1.5915789416160173,2,1
8346,-1.0906153795876659,1,1
495,6.190881482923267,1,0
888,-0.1367724488426001,2,1
7518,3.0539356115227427,2,0
7216,15.899099968488088,2,0
6555,-3.825741521821412,0,1
5385,1.6268787348740261,1,0
9310,4.3013957094084105,1,0
1049,11.98533466516121,2,0
8958,0.5269764199719317,1,0
18,-0.05209256317920641,2,1
3214,-4.744252341523753,3,1
4382,13.334867832929966,0,1
4867,7.763806768622089,3,1
1571,9.664332255180526,2,0
7869,1.2419175309141726,2,0
5665,11.092736068283175,2,0
7356,4.815646634432412,2,1
7167,16.739245114417063,2,0
3123,0.831751961502823,1,0
6211,3.88203615943071,2,0
3509,11.726435468587603,2,0
1568,4.039532069520803,2,1
8040,7.681779785273196,3,0
3353,-2.4306243445226237,0,1
7362,-2.952778252096198,1,1
4615,5.3673933752722505,2,0
6041,10.77001416214524,1,0
1126,-3.4276675762577695,2,1
8000,-1.9140789194217618,2,1
573,7.613715813111355,2,1
3267,-3.1629387140850964,3,1
9494,0.7810504070097751,1,0
7351,1.1427015366150992,1,0
4781,4.192111087402875,2,1
8428,-3.222756438086625,0,1
5271,13.864309920610118,3,1
6741,2.095023313572476,3,1
1501,1.6527048440478396,1,1
8844,7.2119773890627155,1,1
3315,8.993608199842528,1,0
687,-1.0575482749866607,1,1
629,1.465578496530882,2,1
4944,-1.0980555490476078,1,1
4337,-3.568017637941848,2,1
5214,4.844375844504735,0,0
4621,2.4075085906391775,2,0
5958,-1.2622073646813066,1,1
4664,8.631814494474,2,1
585,2.310590741996732,3,1
6188,8.760931590403068,1,0
8052,4.95516888013346,1,0
6065,-0.649624912811932,1,1
8038,2.5819299836728486,2,1
7856,7.159973612468299,1,0
7799,7.454218558934761,0,0
6180,1.7664276518903805,2,0
1666,16.45327417770019,0,0
4742,4.381356927051601,2,0
3195,-3.41560478155335,0,1
2515,2.1139295181451683,0,0
7274,5.366555176343169,2,0
2506,-0.8006652504303169,1,1
6829,-1.8789196145600222,1,1
2396,10.113793051615863,2,0
6798,2.8763330222684553,1,0
433,0.7505751141163728,1,1
2956,4.009425504359571,1,0
7009,2.2719531932112,2,0
9489,-3.531814066860764,2,1
6089,-0.1077286904355006,1,1
9395,7.202989244446248,3,0
1867,12.987496698780301,0,0
7764,18.214085589826063,1,0
724,-2.4681357088537696,2,1
9448,11.186390583692992,1,0
8815,14.658377712961103,1,0
1974,3.9340862787486666,1,0
6520,-1.972411745091712,1,1
6264,-1.6664181422818776,2,1
1304,3.224284756560051,1,1
2234,9.550512714346466,1,0
8337,6.548387938840732,0,0
8921,2.7950282916975615,2,0
8310,8.322086972468629,2,0
3410,-0.5838309741597838,2,1
4,13.949143236691953,2,0
5646,5.643492642280319,0,0
3729,0.8702201966398355,1,0
8198,2.1274502461270206,1,0
6532,4.873712642934496,1,0
582,0.8063410242473292,1,1
9645,-1.3916734259811303,3,1
875,4.1731439045591605,2,0
1473,2.2439182285162103,1,0
4408,2.412880900369721,2,0
3651,-2.526089054832404,1,1
6778,4.5762835850799135,1,1
9918,6.990268612487181,1,0
7474,-0.0951893343267276,0,1
6633,-0.6471197795640329,1,1
8110,-2.7450618418179737,1,1
1693,2.361665488343708,1,0
9830,2.756338316366111,2,0
5614,4.588602935419754,1,0
8698,2.6967311880054203,3,0
3310,5.9245869631424135,2,1
812,2.152780389017704,1,1
1264,6.471041255736976,2,0
6172,-0.8868832855052187,1,1
892,5.242709631027016,0,0
6080,-3.8877350490969778,3,1
1726,10.260676787294349,2,0
5759,13.860800946238353,2,0
7988,1.7225286015160899,2,0
9791,8.390211982618723,3,0
3443,3.7199359528838762,2,0
5316,5.73513443901375,3,1
8942,0.5789202114281107,3,1
2401,1.734581859585802,1,1
5336,3.9198559575144643,0,0
5155,1.2949836143713336,1,1
8101,-4.16290654927091,2,1
1695,3.6187666934218683,3,0
6439,0.963703496156171,3,1
4503,6.087133901498313,2,0
5371,4.5253012060606554,1,0
8124,0.9212900806514579,3,1
852,1.7536324710632103,2,0
5843,-1.2543054977056696,0,1
9352,-1.5460228311865976,0,1
3130,-0.2091691554281523,2,1
4226,-0.1581016338352752,1,1
2875,5.601465394354106,3,0
2962,-4.031409179076666,1,1
1929,4.218012172786558,2,0
8174,2.7231911399009814,0,1
2719,14.607971064539669,1,0
7492,8.698796601910782,1,1
5122,5.520569582189525,1,0
7032,3.6399227383821806,1,1
8345,5.1125656142510785,1,0
5784,0.4106067753469427,1,1
5478,7.453131474104701,0,1
8817,17.03618117048988,1,1
8342,1.7557725768280912,1,0
5954,3.2507220976994935,2,0
7876,-1.927716752612041,1,1
6436,-3.5959342460120465,1,1
1788,1.8936442187149085,2,0
9251,2.811418547739126,1,0
7724,4.7025126386689555,2,0
6391,4.374576321463987,2,1
854,-0.313433469307812,2,1
6498,-0.6464851327844823,0,1
3721,3.3052800440975973,1,0
6879,8.079687211678698,0,0
971,4.9251646805895115,1,0
9758,-3.5882023688313076,1,1
2628,2.8402587622994977,1,0
6273,0.10374279206494297,1,1
5368,0.5762765991372456,0,1
6148,16.190402532593126,2,0
7730,7.038334203880444,1,0
6120,6.351199241441732,2,0
9734,0.6424945176611727,2,0
6540,7.245082762574933,0,0
2094,7.022754489411006,1,0
44,-0.13747410533328797,2,1
9591,3.5371852536771,3,1
3272,11.11045725669483,2,0
4417,2.6646847634955493,3,0
3663,6.590702767203038,2,0
2966,4.298799380221186,3,0
1544,-0.9279988460957869,1,1
4813,-0.8706282784135304,2,1
6122,1.1169988111567473,3,0
4914,4.535352589023383,2,0
494,3.6437351815320773,1,0
9966,14.11237382648001,2,0
9181,-2.59391494485029,1,1
6793,-2.506920661566795,1,1
668,2.6114822324498173,3,0
145,2.2219029097773273,2,1
2005,6.488551019913093,1,0
5410,5.627398917625443,1,0
4275,3.3024482171584673,1,1
9793,-0.7627869095631521,1,1
1133,2.2242928516776344,1,1
7157,11.175867492443896,1,0
531,8.844340789777096,1,1
3423,-1.263092522731864,0,1
4218,2.1126096063998485,1,1
5076,6.11610222544969,1,0
555,-1.5366262788033938,1,1
4402,7.602429746221956,2,0
4573,-2.306297651697533,3,1
795,-1.1485030328015515,2,1
3055,-2.6373394047305743,1,1
8919,9.067415890194809,1,0
1593,0.4902816286492343,1,0
3143,-1.2104654793093008,2,1
6985,5.788563388496319,2,0
9074,11.735632538164452,2,0
9121,-2.5769974774734403,2,1
3343,2.692564858794782,2,1
7682,3.8632802551685614,1,0
8046,2.564025636225427,2,0
6992,1.771949878582432,2,1
8436,2.8853917839881777,1,0
5200,-3.7294780967632866,2,1
2495,2.2665283319715934,3,0
2761,3.2923743767264053,2,1
5957,-0.367751433465874,2,1
7817,1.4080881267098349,2,1
3993,3.471191905035656,1,0
856,-3.0101634354440985,1,1
8248,9.002180222220833,2,1
9129,-1.779775821913085,1,1
4884,-3.6440983998817713,1,1
1423,-2.98852144047419,2,1
140,2.877134751088927,1,0
5571,2.9449797539756446,2,1
1612,3.2000356350240384,1,0
7122,-1.5499993074761873,2,1
2430,4.049445538266939,2,1
9122,17.285950928435106,1,0
6564,11.239561873173942,3,0
9187,10.809411359988966,2,0
8107,-2.3267696802795066,1,1
8390,-2.040527879910325,1,1
5367,3.3481102294911538,2,0
7574,5.332478812947716,2,0
302,5.394663625371583,0,0
6525,-1.6677577524563842,2,1
7066,1.495341586519821,3,1
8512,6.542234740125178,2,0
6551,1.4493546709397673,3,1
1390,8.728278921849991,0,0
1760,1.827887624491526,1,0
3707,9.941030899257063,2,0
7529,8.909026901765543,2,0
1163,12.998770188437927,0,0
8262,-4.73345769638985,2,1
6015,-0.7691835039114832,1,1
1132,7.081145643054015,2,0
6859,0.1627056488369103,2,1
1248,8.156956375244757,0,0
171,-2.044731286394122,1,1
778,3.338388098417573,2,0
2304,-0.035888235859277806,2,1
7803,0.8282174055173459,2,0
6189,-2.395594300897037,1,1
8899,9.079001918984797,2,0
12,13.095530602450586,2,0
2493,2.2324623468266727,2,0
31,-1.3480435590240374,0,1
2899,6.827954476324404,2,0
2379,5.173776099243891,2,0
3266,7.941887751272699,3,0
6964,3.81727629709312,1,0
1243,-4.4069831992408535,1,1
6334,2.3207340029173436,1,1
6077,-0.6595139472442,1,1
5038,0.9542771672069188,1,1
9803,-2.620360699233002,1,1
4711,4.613276629290565,2,1
8584,-1.252257585571284,1,1
345,2.0865441104532656,2,0
5946,3.6350435194841957,0,0
8210,6.48497524276436,3,1
1062,8.214175336480174,2,0
7588,0.5788313434993402,1,1
6240,6.9267645083657285,2,0
5215,7.380522040863177,3,0
8860,-2.452026485226429,2,1
2185,2.986238234186551,1,0
6421,9.454281177933478,2,0
6776,2.7682068127963015,1,1
915,10.457945218738674,0,0
2135,4.280791802234165,3,0
4331,8.550807524492946,2,1
6137,-4.378922756821787,1,1
6363,4.526808436929096,2,0
9928,11.305042087955401,0,0
136,10.514437668084888,1,0
6156,-1.6230710652629767,2,1
772,-2.703567654035364,0,1
5504,2.4393437766071795,1,0
9084,6.557207054554314,2,0
8281,-2.058499656921162,1,1
7685,9.243978850624536,3,1
9411,-2.2772219587988194,1,1
1031,4.518515473161919,3,0
8728,3.592639793547576,2,0
1283,1.1455784949297587,1,0
951,-2.9597556744747155,1,1
6869,5.0033918976371305,2,0
3347,-0.984323464503233,1,1
4235,7.411820960934808,2,0
7786,7.674049000372852,1,0
919,10.143876612990704,2,0
5331,4.972695342595713,2,0
9041,2.5852252678846703,2,1
6896,4.636997467625198,3,0
2193,11.849442242775227,2,0
4639,7.772124121637129,3,0
6990,1.075891255676856,0,1
6714,2.356571989915098,0,1
9807,7.411583922491123,3,0
9643,9.549395737498742,1,1
5212,5.205594131716671,1,0
6630,2.7402404949364096,2,0
5673,5.88359544391721,2,0
5705,-3.810356777015577,1,1
1606,-0.17420491730832488,1,1
9305,-4.133565515557423,1,1
4188,1.0471605570522962,1,0
2860,3.55993751337012,1,0
5168,1.9005831837951277,2,0
21,-3.39445566116288,0,1
444,-0.28277458848753056,1,1
5233,8.37817588892187,1,0
6752,-4.134646523486523,3,1
2522,1.5904454810962636,2,0
878,-0.9782644648134742,3,1
1072,-4.415539284059876,1,1
196,1.7758489531669444,1,1
7602,-2.801087041956362,2,1
6878,8.565339916056224,2,0
410,0.45557801308220913,2,1
318,6.579591191266082,1,0
6280,7.786296448526233,1,1
5311,4.1244263850937255,1,0
3891,2.005415132118932,1,1
5583,-3.9092070959724365,2,1
4169,1.7789832922617568,1,0
8807,3.5404972855383336,1,0
6576,1.3175886798022238,2,0
3933,3.368274822846992,0,0
1660,0.30612402094087,1,1
7959,7.4720778975964155,2,0
5769,-2.6454995511143595,3,1
1614,3.152605829586239,2,1
2082,2.093901277960217,1,0
3733,-2.860796751911929,1,1
7580,0.9431819635451699,1,1
5455,9.351977368128232,2,0
4084,3.2277166216525046,1,1
3307,6.2829913291812405,0,0
8019,3.243740363639966,0,0
6983,-4.230347892505577,0,1
4810,1.2220310651896078,3,1
1522,8.757739907671002,1,1
2164,-0.3310481654507136,3,1
9394,4.553667732276015,1,0
3845,5.953842628448986,2,0
5178,-1.6236394471017905,1,1
4527,4.192916813143431,2,0
3401,2.2206996498320564,2,0
1960,-3.1877315143307188,2,1
2877,10.9715545665942,2,0
2768,14.096325790572607,2,0
5795,-1.3763724746071366,1,1
8754,0.8743040851072578,2,0
1540,-0.7556628787504636,2,1
9549,-2.3269864025074027,1,1
2622,-2.6652188788288225,1,1
356,-2.479155078222035,1,1
9245,3.07497528804722,2,1
4917,3.7111395316717517,1,0
1115,-2.4839250132855732,2,1
3322,6.029681078715349,1,0
5782,-0.03759017984143753,1,1
968,10.495578144080419,3,0
1678,0.774364100873103,3,1
7684,0.7358636676276051,0,0
6530,-4.368507089919152,2,1
6982,10.254261699963,1,1
5328,2.835341147936319,2,1
1112,10.395374916144007,2,0
6207,-3.0800499935423407,2,1
5835,3.9432406113183474,1,0
7646,2.9357088010681687,2,0
2581,5.622126111833053,2,1
8920,7.71238713313627,0,0
418,0.7975072809515389,1,1
7560,8.886114890038659,1,0
8498,1.5197253643280622,3,1
1313,1.081605430184525,2,1
5294,7.192858951362771,1,0
8895,5.768160543024212,1,1
7917,-2.6756934326072477,1,1
4251,-3.5899003656233086,1,1
5597,7.979588172466956,1,0
8791,2.2423109306381637,3,0
9278,3.107206999532462,3,1
8923,2.7836369703967794,2,0
484,-1.7874703327428518,2,1
77,3.111801133326681,2,0
3546,2.155094460142558,1,1
4676,3.1430296830456808,0,0
6197,3.1340940133617545,2,0
7253,1.2148210405649706,2,1
6229,1.8026238502003693,2,1
8348,0.7897128766705697,2,1
8956,7.919420860521822,2,0
9794,1.5605454233162348,2,1
7813,5.064048459354256,2,1
7268,-0.3141986669065524,0,1
1655,-0.4603511974924013,3,1
4605,-3.574020719336952,2,1
4611,-0.6803244794328096,2,1
5342,5.025405751706778,3,0
1397,7.433152911962127,1,0
373,11.123632356191784,3,1
2368,3.5117276300338096,2,0
3880,5.127477957124332,2,0
1327,6.077325611988418,1,0
7018,2.0424557518243396,3,0
967,-2.818342644252229,2,1
7291,-1.6528589668649944,2,1
9363,-3.0476188466301104,0,1
5045,-3.453962381425953,0,1
7170,10.888241922380402,2,0
5644,2.490567774476127,2,0
8965,-3.4498419117709576,2,1
502,5.917772648108545,2,0
8388,8.032734935445532,1,1
3758,13.643843782669377,2,0
3187,0.426814249557399,2,1
8372,3.0917874917824175,1,1
6861,-3.508386245296909,1,1
4205,5.4129198027419765,2,1
6043,5.858134379845862,3,0
2220,3.2510496607990547,2,0
4208,8.254044658779844,1,0
6468,7.693347678246373,2,0
7015,3.8111923127232155,2,0
4669,-1.1454848770469197,3,1
4578,16.659069153723948,2,0
8541,16.123484618563044,3,0
7883,-2.0550863355571263,2,1
8680,10.990081563032309,2,1
9388,3.305664152505334,2,0
1364,-0.2556935686897761,1,1
889,-2.3395531673658216,1,1
1864,0.7205016527538914,1,1
1742,4.583525048784622,1,0
8893,1.6286303346741418,2,0
4145,-3.970301554777452,1,1
6602,-4.002454029128701,2,1
8146,4.937377033394133,1,1
5241,4.094076911141485,1,0
6354,3.518762730273373,3,0
9901,0.7929293479257504,2,1
6567,2.5147824875869733,1,0
4549,3.849909548953343,3,0
3871,9.170604341775782,2,1
1718,14.495455028162366,3,0
465,4.2975668011639065,3,1
414,5.691383328759463,0,0
5918,8.314309729444805,2,1
9818,2.0793530781592757,1,0
9436,1.8417919546511357,2,1
2024,3.731185359860116,2,0
1652,0.8144732660095526,3,1
9260,9.634910531488545,2,0
5447,5.834403194834298,2,1
4099,-1.5511915924153143,1,1
6599,6.308070695919005,2,1
4873,-1.6956375588084027,1,1
1210,0.7501689171836539,2,1
4164,9.097382564898634,2,0
5310,2.987062835630401,2,0
5280,1.1172252280021997,2,1
8300,2.652226641049044,2,1
4063,-3.5096698146389516,1,1
2560,-1.8113695255429993,2,1
6142,3.5931310347470813,2,1
2458,3.0274035692367374,0,1
348,6.778237027764629,3,0
8824,-0.6535202376428861,1,1
