,Q
2970,1
7729,2
3222,3
5960,3
3628,1
3973,3
1753,2
2071,3
206,0
721,1
3570,2
1823,2
9353,2
2991,3
5865,2
4847,2
1940,3
5775,3
477,3
1750,3
1623,3
7780,3
7774,3
752,1
5059,2
1300,2
6882,3
3014,3
449,1
9998,1
6297,2
1787,3
8179,2
9378,3
1255,2
9731,2
3929,2
8472,1
9472,2
2943,1
742,1
7460,3
7504,1
4800,3
6394,3
6759,3
9354,2
3005,1
5669,3
2854,0
5800,3
943,3
6960,3
8633,3
4600,2
5162,1
5516,3
1946,3
3311,2
9406,1
5448,3
6169,3
264,3
4431,3
8130,1
9733,1
4487,3
9626,1
2613,3
6447,1
7071,3
4027,2
7281,1
2098,2
3185,3
9866,3
1872,3
7563,1
1989,2
7458,1
3561,3
6588,2
694,3
8089,1
1709,0
8663,3
1976,3
5206,2
1094,1
9156,1
6702,3
1084,2
8357,2
9280,2
3792,3
4932,2
7530,2
9146,2
2787,3
8612,3
903,3
9068,3
6957,2
8929,1
851,3
4077,3
9985,3
4112,1
6848,3
1509,3
9457,3
7822,3
5014,3
1336,2
7890,3
7117,2
9921,2
8479,0
771,3
3469,3
3734,3
5649,0
3319,2
9205,2
8641,2
3920,2
7800,2
591,1
4857,2
9667,1
540,3
745,3
4804,0
3387,3
2700,3
8884,3
5170,3
2866,3
1028,3
6717,3
5445,2
876,3
9965,3
1550,3
7562,3
1404,1
3128,3
1348,3
6463,2
2818,3
2570,3
1414,3
3097,3
5424,3
7713,3
5125,1
16,3
4943,3
4934,1
2072,2
9088,3
9685,1
2189,2
751,3
6911,1
5696,3
3002,3
9526,3
8494,3
825,1
8828,3
5145,1
8505,3
5210,3
9503,3
1778,1
8713,2
9560,1
2357,1
1499,0
580,3
2263,2
3843,3
9570,3
5454,2
9021,0
3637,0
9240,1
6095,1
3114,3
5586,1
9833,2
7638,3
3705,2
4539,3
5196,3
1320,1
3022,3
2870,3
7251,2
9790,3
366,2
9824,3
3654,2
5717,2
5167,3
7000,0
7346,1
9438,0
7913,3
5138,0
9450,3
4890,2
1302,1
9288,3
9425,1
8252,3
678,3
8970,3
8061,1
804,3
6797,3
1819,1
5697,0
693,1
1271,3
7426,0
1422,1
6627,1
8814,2
3386,3
8157,3
1524,2
2904,3
2265,3
2258,2
4309,3
1653,1
4806,2
705,3
686,3
4316,2
9995,3
2554,3
1193,3
8282,3
8122,2
363,3
611,3
1680,2
9031,3
9846,1
9773,1
2744,1
121,2
4528,0
1784,2
8634,2
6875,0
4945,0
1282,3
7358,1
834,1
8655,3
4468,3
6591,3
3712,3
7416,1
7033,3
8990,2
8439,3
522,3
589,3
4154,3
5567,0
2774,3
3681,3
2415,3
4211,2
8032,2
1019,3
4723,3
8087,1
2399,1
1584,0
4475,1
2060,1
9609,1
9518,3
6803,3
2606,3
8580,1
6337,2
1871,3
2772,2
7239,2
8931,1
8063,2
7181,2
9097,3
643,3
8745,1
7796,3
711,2
2371,3
9556,3
9023,1
2514,3
7439,3
803,3
1442,3
2790,3
2987,2
3202,3
5912,2
1874,3
6995,2
1402,3
380,2
4392,2
7872,1
9659,3
5141,3
3141,3
5222,3
8590,3
111,3
5221,3
7748,3
8078,3
544,1
4851,3
6944,3
1761,1
305,3
9781,3
2534,2
2183,3
8473,3
5057,3
8689,3
1220,3
7287,1
1181,3
1090,1
5258,2
8194,3
6611,1
9188,3
9937,1
2201,2
9228,2
8782,1
9488,1
1034,2
208,1
7123,3
9719,2
9514,2
7014,2
6698,2
2896,2
35,3
7222,3
7519,3
2563,1
4949,0
2103,3
4750,3
2673,3
4660,2
547,1
7582,3
8238,1
6953,2
3279,2
5943,1
7065,2
9836,3
6166,3
3726,3
297,3
4693,1
1453,2
369,1
3459,3
5224,3
1933,3
9249,2
5056,1
8785,0
1577,3
7886,1
131,3
5397,1
452,3
1408,2
7759,2
8441,3
4778,2
7200,3
9612,2
6986,3
4338,2
9700,2
8056,3
514,0
2249,3
280,3
233,0
5096,1
5753,3
9873,2
6336,2
5893,0
4830,2
5683,2
1380,3
2601,3
4796,2
6378,1
3861,3
9674,2
2989,2
1605,0
3558,3
8662,1
2061,3
8332,3
7688,1
5383,3
3683,3
2858,2
6260,2
3371,2
2233,2
6050,2
1232,1
1370,3
1583,0
4058,2
9955,1
6616,3
9538,3
525,3
4173,3
4956,3
5139,3
209,1
4718,1
1667,3
9067,3
3039,2
7307,3
3890,1
2136,2
4325,2
9772,2
9669,2
6217,2
819,3
5256,3
5264,3
5197,1
4369,3
328,2
3818,3
1092,2
3394,1
9471,0
4001,3
9636,3
86,2
2428,3
9389,2
5069,2
8523,1
2080,3
9164,1
982,1
2104,1
8876,3
1040,3
9340,1
9006,1
9762,3
1815,3
6683,1
8292,2
6145,0
6427,1
6894,3
3751,3
2093,3
3952,3
9298,3
4590,3
4702,2
6946,2
4271,3
3406,3
2283,2
5115,2
7792,2
1231,2
5859,3
5777,3
7641,3
2361,3
7159,3
2840,1
3963,2
156,2
8997,1
649,2
5305,3
8147,0
6047,3
974,2
3591,3
513,1
389,3
1306,2
5121,2
425,3
7738,1
14,3
6418,2
5024,3
1273,1
5379,3
1585,3
2807,3
7993,1
7423,0
2092,1
7973,2
7179,2
2338,3
5741,0
8137,2
8480,1
1861,2
2333,2
2129,1
2152,3
7384,3
6537,3
4786,3
9875,0
6430,1
8527,2
4727,3
310,2
0,3
155,3
8629,2
2134,2
6275,0
4467,1
7968,1
2655,2
634,1
4715,0
7077,1
8471,1
1459,3
5606,3
8738,3
7488,1
8050,1
9856,2
2116,2
3936,1
6921,1
833,3
7041,2
3001,1
404,1
1311,3
7155,2
9662,1
9657,2
2177,2
3140,1
8759,3
3102,2
9673,2
9120,3
163,3
1368,3
900,2
9932,0
3450,2
7309,3
991,2
3268,1
3299,2
1921,2
667,1
7244,3
4111,1
322,3
5176,2
2862,2
7866,0
7743,1
691,3
6607,3
4771,2
4034,2
8469,3
5879,3
4644,2
5092,2
5997,3
3668,1
6864,1
7027,3
9915,3
9223,3
4940,1
8376,3
8537,0
1298,3
7427,2
6289,2
5417,3
3025,3
5208,3
3906,2
8015,1
9043,2
9960,3
4880,2
2737,1
202,3
2235,3
6193,3
8639,1
6993,3
4239,2
4968,2
3083,3
4250,3
3132,3
8752,1
3059,3
7019,3
9507,3
689,2
3461,3
4784,2
6903,3
7770,2
7609,3
4831,3
6506,3
4452,1
2631,1
9126,2
9125,1
6313,0
1036,3
7343,0
8230,1
3447,3
7348,3
1165,3
2111,2
9,3
6078,2
1191,2
3361,3
3173,0
9869,3
1792,3
9493,1
7849,3
2509,1
1938,2
7059,3
7939,3
1491,3
1644,0
7087,3
7399,3
4304,2
2215,2
6068,3
5365,2
3713,2
8482,3
8495,3
3660,1
7851,0
9947,3
3604,1
7942,3
7783,1
6699,2
3986,0
9859,2
7995,3
8429,3
3487,1
2433,3
9380,3
5573,2
1079,1
2222,3
4899,0
3814,3
2128,3
5405,3
8492,3
2324,3
7464,3
4254,0
7557,3
8806,3
8657,2
5691,2
4128,2
6746,1
9410,0
1922,3
1552,3
4213,1
6783,1
2329,3
1961,2
3606,2
7575,2
699,3
3672,3
4362,0
6514,1
313,3
6442,3
4823,0
884,3
4870,2
9776,2
6121,1
2781,3
5569,3
5708,3
1396,3
212,3
6110,1
5688,1
5553,3
3888,3
4626,2
6857,0
7338,2
3887,3
1891,1
6642,2
586,3
7049,3
6735,3
3639,3
2766,2
7120,1
3489,1
727,3
7233,3
7561,3
2728,2
1270,2
1625,0
8005,2
2275,3
9463,1
1391,3
4224,1
5765,2
4460,2
3031,1
5414,2
7315,1
3273,3
538,3
6754,1
5361,3
5250,3
6948,3
9924,2
703,3
1427,2
8082,3
4243,1
2610,2
4601,0
5506,3
430,2
946,3
81,3
6558,3
3976,3
9016,3
7404,2
8640,1
8853,3
1337,3
2948,2
6721,1
6761,3
6067,3
3608,2
7704,2
3067,3
422,3
9832,2
3068,3
7068,3
9935,3
2802,2
562,1
4762,1
642,1
9458,2
4483,2
9005,3
3182,3
7558,2
5850,1
3026,2
4438,3
4219,1
9976,3
2864,1
3346,3
896,1
2425,3
1892,1
3647,3
1668,3
7781,3
937,3
9359,1
9964,1
7610,3
9811,3
8188,1
8290,1
4324,3
8036,2
3981,3
9987,2
7726,1
9123,1
5763,3
1322,2
3786,1
620,3
9820,3
6176,2
5001,3
9311,3
7135,1
4616,3
143,3
7341,1
3425,3
82,2
9081,3
80,1
823,3
9607,1
4504,3
6790,3
3342,3
4024,2
5654,3
8060,3
7131,1
6838,0
5199,1
4184,0
6219,3
4334,3
3198,3
2468,1
3226,3
8935,3
5563,2
7298,3
1160,2
6522,3
9687,3
8795,3
9358,2
8229,1
2701,3
8104,2
1192,3
1698,3
6312,2
207,3
1838,0
2571,3
932,3
829,3
7957,3
3977,1
8076,3
6255,1
46,3
2259,3
7717,3
5207,3
5128,0
7380,3
57,3
7864,3
6523,3
9134,1
3988,0
735,2
1674,2
7001,1
2689,2
1982,2
7214,3
2831,0
6757,1
450,0
6239,2
7104,3
6213,2
7844,3
8288,3
3270,0
1188,3
6764,2
7116,1
3431,3
1542,3
6146,2
5526,3
5890,3
9341,0
4118,2
2054,3
181,3
5937,2
5318,3
1888,1
4967,2
2792,2
4979,1
5967,2
8275,3
2898,3
9542,3
2370,3
8093,3
8885,3
1035,3
227,2
1180,3
1773,3
6019,3
174,3
7038,1
8883,3
6870,3
8435,1
6578,3
4491,3
9029,2
5811,1
6646,0
821,0
9741,3
2545,1
1890,2
3009,3
5605,3
6124,0
4865,3
7267,3
4426,3
4366,3
204,2
6515,0
2665,3
1145,2
1862,2
9505,2
6745,3
2107,2
2499,2
2170,1
1896,3
8394,2
6658,3
6841,3
405,3
3617,3
1093,3
4071,0
3949,1
4054,2
3316,3
7583,0
1158,1
921,3
8702,3
8392,3
8336,3
8837,1
487,3
4007,1
350,0
475,3
7261,3
2804,2
2929,3
6134,0
871,1
3895,3
3723,3
945,3
7339,2
5916,3
7626,3
6396,1
7304,1
9496,2
8456,3
5537,3
8476,3
1261,2
3633,3
9605,3
4422,1
4631,3
4777,3
520,1
9561,2
3954,2
5587,3
5660,1
1403,2
2596,3
4457,1
1734,3
4782,3
1219,3
1332,1
383,1
5054,1
5866,1
8530,2
9384,1
5662,1
7661,0
2502,2
9250,3
222,3
7513,1
5780,3
8025,3
403,2
2843,3
6266,1
3631,2
6485,3
2780,3
2019,3
6198,2
7417,3
5192,2
6288,3
8959,3
9730,1
3825,2
746,3
2487,1
8664,3
23,3
5437,2
8362,2
2358,3
5511,2
5297,2
5862,1
1030,3
1393,3
3601,3
6303,3
3189,3
1554,3
2467,1
2937,1
3868,3
9453,3
7342,2
7335,2
5129,2
1209,3
3940,1
8555,3
6598,3
9437,1
9702,3
9740,3
9746,3
2902,2
8092,3
5781,2
8335,3
1777,2
8546,2
3810,3
9113,3
9534,3
9601,2
9883,0
3254,2
8896,3
9547,2
1643,3
786,2
1673,3
1751,3
874,2
5465,1
3177,1
2848,1
1764,2
6874,2
7025,3
7923,3
7721,1
9596,2
8998,2
8164,3
1458,3
316,2
9701,3
5515,3
