Dataset,Att,Measure,Acc,SP,EO,PP,FN-TN,FP-TP
diabetes,Sex,mean,0.6296864171864172,0.0069179590415181,0.0086333563152485,-0.0104151395254864,1.0,0.0
diabetes,Sex,std,0.0039094379215824,0.0123553499771928,0.0158938446277554,0.0069345746479662,0.0,0.0
diabetes-w,Age,mean,0.684375,-0.2464871257825693,-0.2210505600263612,0.1738371434719949,0.0,0.0
diabetes-w,Age,std,0.0384461403768511,0.0802285387212572,0.1411428269219845,0.1385304478682007,0.0,0.0
drugs,Gender,mean,0.7180084745762711,-0.09372796073007,-0.0724666695648465,0.1030110609852976,0.0,1.0
drugs,Gender,std,0.0168739503984461,0.0424297227225144,0.03339630504701,0.0327960327837775,0.0,0.0
dutch,Sex,mean,0.883482290632241,-0.0080549022175231,0.0465806395576829,0.0180300317220502,0.0,0.0
dutch,Sex,std,0.0021536132227749,0.0093489516963149,0.0270608780767982,0.027925192550883,0.0,0.0
german,Sex,mean,0.6428,-0.0885568787934517,-0.036383255552132,0.0288541244347068,1.0,0.0
german,Sex,std,0.0292149124782381,0.0806097884039452,0.0902622497734296,0.0522779239318839,0.0,0.0
heart,Sex,mean,0.6802631578947368,-0.2120303302362125,-0.141768122060557,0.2381204251138461,0.0,0.0
heart,Sex,std,0.0511675020459294,0.1440173859675881,0.1459542483783766,0.1650835796734039,0.0,0.0
hrs,gender,mean,0.8618659987476519,0.0243676746835787,0.0101331575782131,-0.0257740776195848,1.0,0.0
hrs,gender,std,0.0044566509937695,0.0107369788492933,0.0067787129040701,0.0046332331052555,0.0,0.0
hrs,race,mean,0.8618659987476519,-0.0746353700216586,-0.0530093715828791,0.0412512904418331,1.0,0.0
hrs,race,std,0.0044566509937695,0.0168903216395651,0.013357125422825,0.0088780138139498,0.0,0.0
insurance,sex,mean,0.982089552238806,0.0238877877718862,0.0059837806251576,-0.0047849145086433,0.0,0.0
insurance,sex,std,0.006133745276586,0.0172273023551985,0.0157246698128466,0.0110890318228825,0.0,0.0
kdd-census,Race,mean,0.9429860201545,-0.0196095778339954,-0.0450927543088564,0.097832065195664,0.0,0.0
kdd-census,Race,std,0.0007717461483639,0.0018944697295101,0.0118089293018826,0.032940223978618,0.0,0.0
kdd-census,Sex,mean,0.9429860201545,-0.0514094262439093,-0.171493535359638,0.2358725205574302,0.0,0.0
kdd-census,Sex,std,0.0007717461483639,0.0012328668348916,0.0151756300733072,0.0164223615626871,0.0,0.0
lsat,gender,mean,0.5602432902104654,-0.1289965913348554,-0.1276467430519613,0.1087203182125084,1.0,0.0
lsat,gender,std,0.0083414630702038,0.0142010162430106,0.0202669949832199,0.017298174567705,0.0,0.0
lsat,race,mean,0.5602432902104654,-0.1817984270273892,-0.1812395916336166,0.2097453343906845,1.0,0.0
lsat,race,std,0.0083414630702038,0.0214263043644386,0.0248168973322859,0.0315402924861928,0.0,0.0
nursery,finance,mean,1.0,0.0011384992579641,0.0,0.0,0.0,0.0
nursery,finance,std,0.0,0.0081233375222117,0.0,0.0,0.0,0.0
obesity,Gender,mean,0.9890151515151514,-0.0105353227490347,9.717641801338938e-05,0.0071836089524211,0.0,0.0
obesity,Gender,std,0.0055612918044306,0.0304671825848779,0.013154413537299,0.0164109305988648,0.0,0.0
older-adults,sex,mean,0.4666666666666667,-0.3302181152181151,-0.375,0.2640873015873016,1.0,0.0
older-adults,sex,std,0.0794355947760267,0.2012647972284837,0.344377233585999,0.4474630284119375,0.0,0.0
oulad,Sex,mean,0.555024774488629,0.0305786680026722,0.033923657935728,-0.0239853671655688,0.0,0.0
oulad,Sex,std,0.0064349585205351,0.0132079826506005,0.017421139564716,0.0133199123669855,0.0,0.0
parkinson,sex,mean,0.9160653505786248,-0.0884780177978916,-0.2343518236054423,0.1921773717660613,0.0,0.0
parkinson,sex,std,0.0047818652750399,0.0201894631855935,0.0695155305184182,0.0600225570232624,0.0,0.0
ricci,Race,mean,0.8866666666666667,-0.3404000785076637,-0.2241269841269841,0.1398931623931623,0.0,0.0
ricci,Race,std,0.0525873758497743,0.1430878638626148,0.1992091422473308,0.230183387471296,0.0,0.0
singles,sex,mean,0.6835227272727272,-0.0852112245702901,-0.0688131781118119,0.0899943060258663,0.0,0.0
singles,sex,std,0.0239921832378744,0.0375835848483988,0.0833176880729082,0.0614249364610784,0.0,0.0
student,sex,mean,0.6570552147239264,-0.0974333507947844,-0.0574108923836683,0.1166527547250984,0.0,0.0
student,sex,std,0.0408435195658673,0.135093534993153,0.1718618064757829,0.0972104665886216,0.0,0.0
synthetic-athlete,Sex,mean,0.634,-0.0186280071234618,-0.0005548067783897,0.0729764196761922,0.0,0.0
synthetic-athlete,Sex,std,0.0237205958328762,0.0830044400217487,0.0812728182102292,0.0978383736406194,0.0,0.0
synthetic-disease,Age,mean,0.6427999999999999,-0.2405877549361467,-0.1704061231930017,0.1666241671489277,0.0,0.0
synthetic-disease,Age,std,0.0357298505765448,0.0817904134064177,0.0663352733534001,0.0918176453800811,0.0,0.0
toy,sst,mean,0.9586268656716416,-0.2357997365254033,-0.1486767463605629,0.1593995756865634,0.0,0.0
toy,sst,std,0.0026258101301565,0.0077030646675279,0.0113457839235579,0.0113141914253835,0.0,0.0
wine,color,mean,0.7538508934072705,-0.1084651181744674,-0.0555675902696143,0.0858394559059976,0.0,0.0
wine,color,std,0.0090519206699687,0.0182450356713599,0.0226868205412171,0.0392484604287656,0.0,0.0
