Dataset,Att,Measure,Acc,SP,EO,PP,FN-TN,FP-TP
older-adults,sex,mean,0.6222222222222222,-0.5833202908202908,-0.53,-0.0904761904761904,0.0,0.0
older-adults,sex,std,0.107343531453255,0.2060061455052302,0.3036607919096732,0.3873780174391181,0.0,0.0
oulad,Sex,mean,0.6106339728115868,0.1109405009155939,0.1238297652437966,-0.0073639277859982,0.0,0.0
oulad,Sex,std,0.0043420375477108,0.0211182822750675,0.0269146956456411,0.0071838757381122,0.0,0.0
parkinson,sex,mean,0.8763104152484683,-0.1081413854833988,-0.4510140027339789,0.4103932881954901,0.0,0.0
parkinson,sex,std,0.0084297021040132,0.0206410138203661,0.0647133836471467,0.1079310518545593,0.0,0.0
ricci,Race,mean,0.9366666666666668,-0.3322839505695543,-0.0778571428571428,0.0176190476190476,0.0,0.0
ricci,Race,std,0.0456773439802099,0.1490753730454295,0.1590950171746303,0.168718287148256,0.0,0.0
singles,sex,mean,0.7120738636363637,-0.1463175442334921,-0.1080346342974359,-0.0444551032801173,0.0,0.0
singles,sex,std,0.012828730984427,0.0270544504192584,0.0624276494483526,0.0529217104258746,0.0,0.0
student,sex,mean,0.7319018404907974,-0.1495362048447583,-0.071352280096018,0.0630965930285273,0.0,0.0
student,sex,std,0.0303389930276535,0.1148881017947694,0.0950788638283079,0.0787673236860791,0.0,0.0
synthetic-athlete,Sex,mean,0.6864,-0.0849686792105743,-0.0811020892163226,0.0688424652143996,0.0,0.0
synthetic-athlete,Sex,std,0.0273382109469104,0.0535937794444871,0.0926942701897129,0.0505412602873434,0.0,0.0
synthetic-disease,Age,mean,0.74,-0.3864690016576404,-0.2457490739813607,0.0772776763321131,0.0,0.0
synthetic-disease,Age,std,0.0214165045389453,0.0687564017246689,0.0565107585591925,0.0618772065500514,0.0,0.0
toy,sst,mean,0.9782567164179105,-0.2468192824445503,-0.1138435154605839,0.0871578418989788,0.0,0.0
toy,sst,std,0.0009083874139754,0.007108733151235,0.0066676714633118,0.007095126401816,0.0,0.0
wine,color,mean,0.7435613062230437,-0.2258499495411701,-0.1425431638797929,0.0279865339917659,0.0,0.0
wine,color,std,0.0059864240549555,0.0283811701841806,0.025128560723251,0.0407588691983817,0.0,0.0
