,Q,A
2094,1,0
44,1,1
9591,1,1
3272,2,0
4417,3,0
3663,2,0
2966,3,0
1544,3,1
4813,1,1
6122,3,0
4914,2,0
494,1,0
9966,2,0
9181,2,1
6793,2,1
668,3,0
145,1,1
2005,1,0
5410,1,0
4275,3,1
9793,2,1
1133,2,1
7157,1,0
531,2,1
3423,3,1
4218,2,1
5076,1,0
555,2,1
4402,2,0
4573,0,1
795,1,1
3055,2,1
8919,1,0
1593,1,0
3143,1,1
6985,2,0
9074,2,0
9121,1,1
3343,1,1
7682,1,0
8046,2,0
6992,1,1
8436,1,0
5200,1,1
2495,3,0
2761,2,1
5957,1,1
7817,1,1
3993,1,0
856,2,1
8248,1,1
9129,2,1
4884,2,1
1423,2,1
140,1,0
5571,2,1
1612,1,0
7122,1,1
2430,1,1
9122,1,0
6564,3,0
9187,2,0
8107,2,1
8390,2,1
5367,2,0
7574,2,0
302,0,0
6525,1,1
7066,0,1
8512,2,0
6551,0,1
1390,0,0
1760,1,0
3707,2,0
7529,2,0
1163,0,0
8262,1,1
6015,2,1
1132,2,0
6859,1,1
1248,0,0
171,2,1
778,2,0
2304,2,1
7803,2,0
6189,3,1
8899,2,0
12,2,0
2493,2,0
31,3,1
2899,2,0
2379,2,0
3266,3,0
6964,1,0
1243,2,1
6334,2,1
6077,2,1
5038,2,1
9803,2,1
4711,1,1
8584,2,1
345,2,0
5946,0,0
8210,0,1
1062,2,0
7588,2,1
6240,2,0
5215,3,0
8860,1,1
2185,1,0
6421,2,0
6776,2,1
915,0,0
2135,3,0
4331,1,1
6137,2,1
6363,2,0
9928,0,0
136,1,0
6156,1,1
772,3,1
5504,1,0
9084,2,0
8281,2,1
7685,0,1
9411,3,1
1031,3,0
8728,2,0
1283,1,0
951,2,1
6869,2,0
3347,2,1
4235,2,0
7786,1,0
919,2,0
5331,2,0
9041,1,1
6896,3,0
2193,2,0
4639,3,0
6990,3,1
6714,3,1
9807,3,0
9643,2,1
5212,1,0
6630,2,0
5673,2,0
5705,2,1
1606,3,1
9305,2,1
4188,1,0
2860,1,0
5168,2,0
21,3,1
444,2,1
5233,1,0
6752,1,1
2522,2,0
878,0,1
1072,2,1
196,2,1
7602,1,1
6878,2,0
410,1,1
318,1,0
6280,3,1
5311,1,0
3891,2,1
5583,1,1
4169,1,0
8807,1,0
6576,2,0
3933,0,0
1660,2,1
7959,2,0
5769,0,1
1614,2,1
2082,1,0
3733,2,1
7580,2,1
5455,2,0
4084,2,1
3307,0,0
8019,0,0
6983,3,1
4810,1,1
1522,2,1
2164,0,1
9394,1,0
3845,2,0
5178,2,1
4527,2,0
3401,2,0
1960,1,1
2877,2,0
2768,2,0
5795,2,1
8754,2,0
1540,1,1
9549,2,1
2622,2,1
356,2,1
9245,1,1
4917,1,0
1115,1,1
3322,1,0
5782,2,1
968,3,0
1678,0,1
7684,0,0
6530,1,1
6982,2,1
5328,1,1
1112,2,0
6207,1,1
5835,1,0
7646,2,0
2581,1,1
8920,0,0
418,3,1
7560,1,0
8498,1,1
1313,1,1
5294,1,0
8895,2,1
7917,2,1
4251,3,1
5597,1,0
8791,3,0
9278,1,1
8923,2,0
484,1,1
77,2,0
3546,2,1
4676,0,0
6197,2,0
7253,1,1
6229,1,1
8348,1,1
8956,2,0
9794,1,1
7813,1,1
7268,3,1
1655,0,1
4605,1,1
4611,1,1
5342,3,0
1397,1,0
373,0,1
2368,2,0
3880,2,0
1327,1,0
7018,3,0
967,2,1
7291,1,1
9363,3,1
5045,3,1
7170,2,0
5644,2,0
8965,1,1
502,2,0
8388,2,1
3758,2,0
3187,2,1
8372,2,1
6861,2,1
4205,1,1
6043,3,0
2220,2,0
4208,1,0
6468,2,0
7015,2,0
4669,0,1
4578,2,0
8541,3,0
7883,1,1
8680,1,1
9388,2,0
1364,2,1
889,2,1
1864,2,1
1742,1,0
8893,2,0
4145,2,1
6602,1,1
8146,2,1
5241,1,0
6354,3,0
9901,1,1
6567,1,0
4549,3,0
3871,1,1
1718,3,0
465,1,1
414,0,0
5918,1,1
9818,1,0
9436,1,1
2024,2,0
1652,0,1
9260,2,0
5447,2,1
4099,2,1
6599,1,1
4873,2,1
1210,1,1
4164,2,0
5310,2,0
5280,2,1
8300,1,1
4063,2,1
2560,1,1
6142,1,1
2458,3,1
348,3,0
8824,2,1
3676,1,0
3084,1,1
8204,2,1
8562,0,0
3201,1,1
760,2,0
8057,2,0
5020,2,1
5291,2,0
4651,2,0
9958,2,0
8724,1,1
7870,3,1
5163,2,1
9487,2,1
7906,1,0
1297,1,0
5005,0,1
2056,3,0
122,1,0
9999,0,1
6153,3,1
7627,2,1
7812,1,1
8169,2,0
3598,2,0
7188,0,1
2301,2,0
4677,2,1
5198,1,0
2730,2,1
5736,2,0
164,2,1
2175,1,1
7053,1,0
789,3,0
4199,3,1
8438,2,1
1287,1,0
6605,2,0
3834,1,0
185,1,1
7047,1,1
1449,2,1
3658,3,1
6296,3,1
631,1,0
3932,3,0
1610,3,0
6027,1,1
6814,1,0
5616,1,1
4506,1,1
3256,0,1
4081,3,1
1291,2,1
7414,2,0
6444,3,0
3515,2,1
723,1,0
9552,2,1
7734,3,0
1237,1,1
2982,3,1
9461,2,0
226,1,0
6940,1,0
2901,0,0
1381,0,1
2525,1,0
3784,2,1
7221,1,1
54,2,1
7333,2,0
6008,2,1
8322,2,0
2204,3,1
9996,0,1
3985,2,0
7263,1,0
8208,1,0
2755,3,0
4655,2,1
777,2,1
7296,2,0
3626,0,1
4912,1,0
6989,2,1
2192,2,0
5658,1,0
3839,2,1
2829,1,0
3402,2,1
9460,2,0
1150,1,1
4379,1,0
4407,1,1
3308,2,0
3127,2,0
9798,1,0
3697,2,0
5018,1,1
6922,1,0
5211,2,1
5534,1,1
8721,3,1
4862,1,0
7299,0,1
529,3,0
9185,0,1
9934,3,1
2302,1,1
6294,1,1
2505,2,0
6868,0,0
2464,1,0
3348,0,0
7675,3,0
5969,2,0
2711,0,0
8165,2,0
605,1,0
8733,1,0
6656,2,1
3104,3,1
8788,2,1
2763,2,0
1768,2,1
7008,1,1
9290,1,0
7665,2,1
1377,1,1
3388,0,1
182,2,1
5274,2,1
1942,0,1
2450,3,0
3748,1,1
3507,1,0
3289,1,0
9519,1,0
5083,1,1
2210,2,0
6092,1,1
6450,2,0
9027,1,1
2733,2,0
3309,0,1
9562,1,0
1875,2,1
9558,2,1
8808,2,0
2736,3,1
9248,0,0
7496,2,1
2757,1,1
5468,3,0
3391,0,0
9736,2,0
4635,3,1
8700,2,1
2137,2,0
2004,0,1
279,1,1
7679,1,0
8202,2,1
2241,3,0
7046,0,0
7406,2,1
9221,3,1
2532,2,0
1597,1,0
7508,2,0
4442,3,1
6409,0,1
2623,1,1
3944,2,1
6241,2,1
5722,2,1
6109,2,1
5803,1,0
3747,2,0
8654,0,1
1706,2,1
4812,2,1
2006,1,1
8768,3,1
2083,3,0
293,1,0
4518,3,1
3134,1,1
6407,2,0
7023,2,1
9882,2,0
9160,1,1
8303,2,0
1733,2,0
2841,2,1
7294,2,1
8029,1,0
9929,1,0
2624,1,0
3359,2,0
2141,1,1
5801,1,1
4551,2,1
343,2,0
5627,1,1
4987,2,1
8468,0,0
712,2,0
1769,0,0
633,2,1
9101,1,1
9357,1,0
7381,3,0
262,2,1
1122,2,1
5247,2,1
6902,1,1
3627,3,1
7081,1,0
6222,0,1
1934,2,1
3793,1,1
7444,1,1
9345,2,0
929,3,0
2914,2,0
743,3,0
6920,1,1
5461,2,1
8339,0,1
5637,3,1
9983,2,1
3900,0,1
5262,2,0
4659,0,0
8598,1,0
4860,2,0
66,2,0
3383,2,1
2565,2,1
7457,1,0
3445,1,0
1312,2,0
8683,0,0
1924,1,0
2466,3,1
4321,0,1
4709,1,1
6850,1,1
618,1,0
9153,2,1
2270,1,0
7036,2,0
2938,2,1
5002,2,0
4279,3,0
352,1,1
8042,0,0
3490,1,1
4490,1,1
105,2,1
1262,1,1
476,2,1
4046,1,0
6339,2,1
9302,2,1
6785,3,0
7151,2,1
5378,1,0
56,3,1
9829,1,1
1529,1,1
5194,2,1
4028,3,1
3677,0,1
9497,1,1
6939,2,0
1197,2,1
4758,2,1
4971,0,1
3943,2,1
7581,2,1
2216,2,1
4536,2,0
6889,1,1
615,2,1
4025,2,1
3897,2,0
4229,2,0
200,2,0
4368,1,0
1223,2,1
5220,0,0
2385,2,0
6849,3,0
3644,2,1
1275,3,1
8225,0,1
660,1,1
5861,2,1
7647,0,1
3147,0,0
7364,1,1
4620,0,0
4394,1,1
5632,2,1
8801,0,0
1822,3,1
8444,2,0
3164,3,1
8314,3,1
8448,2,0
8095,1,0
4221,1,1
2616,1,0
2282,2,0
412,1,0
351,2,1
9978,2,1
593,0,0
3539,0,0
2827,3,0
431,0,1
7403,2,1
1622,1,0
109,3,1
5938,1,1
7169,2,1
480,2,1
8744,2,0
7880,0,0
922,1,1
7024,1,1
3797,1,0
9315,2,0
9668,1,0
4606,2,1
907,1,1
9032,2,0
8966,2,0
3056,1,0
5823,2,0
2124,3,1
3162,1,1
99,1,0
9108,2,0
8564,1,0
3258,1,0
7205,2,0
8730,1,0
7806,1,0
1358,3,1
175,2,0
5497,0,1
7285,1,1
1656,0,0
747,0,1
2950,2,1
3242,1,0
5624,2,0
1005,2,0
4053,2,0
3458,1,1
5459,1,1
6559,2,1
5081,3,1
1803,2,0
790,2,0
4921,1,1
6237,2,0
3578,2,1
7737,1,1
6582,2,0
4733,2,1
6872,2,1
7568,1,1
3089,1,0
9065,1,1
7228,1,1
8967,2,0
600,1,1
2442,3,1
3448,0,0
6917,3,0
6417,2,1
6202,2,0
5600,2,1
5620,3,0
6467,1,0
2686,1,0
1321,1,0
6671,1,0
4721,3,1
7345,0,0
5749,1,0
5678,2,1
3264,3,0
2121,1,0
8235,2,1
5387,2,1
3675,2,0
6395,2,0
8244,2,0
8552,1,0
1147,1,0
4116,2,0
5281,1,0
3928,2,1
4976,1,1
9984,1,1
3858,2,0
3575,3,1
5858,2,1
3304,3,0
1331,3,1
2211,3,1
1143,1,1
4415,3,1
4371,2,1
2412,2,0
4582,0,1
349,2,0
8425,1,0
1395,1,1
4114,3,1
9823,2,1
8676,1,0
8681,2,1
8197,3,1
2672,0,1
817,1,1
2447,3,0
7455,1,0
4117,1,0
8258,1,1
7246,2,0
4898,2,1
141,2,0
9379,3,1
910,1,1
9729,1,0
7801,2,1
3327,1,0
2345,0,1
6353,2,1
7510,1,0
9495,3,0
5517,1,1
5072,0,0
8526,2,1
1505,1,0
9349,1,1
7145,2,0
6908,1,1
8420,2,0
432,2,0
5561,1,1
2298,1,0
7079,1,0
7775,0,0
5416,2,1
1576,2,0
2976,0,0
1002,1,1
610,3,0
6912,1,1
9275,2,1
7836,2,0
2284,1,0
4749,3,0
2597,1,0
4458,0,1
3796,1,1
1450,2,1
1405,1,0
2381,2,0
9568,1,1
506,2,0
5983,1,0
1559,3,1
2228,1,1
9922,2,0
6205,1,1
1967,2,0
9178,2,0
9925,1,1
2469,2,0
9189,3,1
6587,1,1
1774,3,0
2659,1,0
5016,0,0
1086,2,1
435,1,1
489,2,0
1628,1,0
7491,1,0
8211,2,0
1307,3,1
1399,1,0
1687,2,1
45,2,1
4509,3,0
9309,1,1
7379,2,1
4494,2,1
8352,3,0
8859,1,0
106,1,0
3673,2,0
6079,1,0
2646,1,1
382,2,0
7804,1,1
4244,2,0
6413,3,0
5039,2,0
3081,3,0
519,1,0
532,1,0
5931,2,0
3368,2,0
4298,1,1
2867,2,0
8184,2,0
1971,0,0
8891,0,1
8616,1,0
1416,2,1
1906,0,0
3231,0,0
2679,2,1
2568,1,0
2972,2,1
5388,2,0
765,2,0
6779,2,0
7653,2,0
1898,2,0
9603,0,0
4148,1,1
6913,1,0
9783,1,0
4772,2,1
8117,2,0
681,1,0
6480,1,0
9993,2,1
8643,2,1
3560,2,0
707,0,1
7566,1,1
2022,1,1
9652,2,0
7272,3,0
7101,2,1
1847,1,0
8993,1,0
4684,1,1
5746,1,0
1170,1,1
1817,2,0
6286,2,0
5844,3,1
7182,1,1
2845,2,1
1330,1,1
388,2,0
2919,2,0
9838,2,1
1228,0,1
9865,1,0
8902,2,0
2727,2,0
7593,1,1
5988,1,1
739,0,0
258,1,1
5837,2,0
5428,1,0
1514,1,1
2547,2,1
4300,0,0
7256,3,1
6557,2,0
914,1,0
5951,1,1
6999,2,0
7132,3,0
7004,0,0
7212,1,0
8957,3,1
9265,1,1
2695,1,1
9128,2,1
3547,1,0
729,1,1
2741,1,0
3811,2,1
2797,0,1
3817,2,0
7359,2,1
4255,3,1
8508,1,1
1365,2,1
630,2,1
8341,2,1
5492,2,0
8863,2,0
3741,2,0
3610,1,1
1415,1,0
9139,2,0
1241,1,1
1763,2,1
3259,1,0
6533,2,1
8411,2,1
1925,2,1
9634,2,1
5359,2,0
6383,1,1
2242,2,1
3532,1,1
9725,2,1
4672,3,0
6415,1,1
5074,2,0
7026,0,0
3204,1,1
5456,1,0
4495,1,0
8766,0,0
4083,1,1
6310,3,1
1604,2,1
5482,1,1
5512,2,1
6161,2,1
5451,2,1
6760,1,0
2591,2,1
1694,1,1
3851,1,0
1472,2,1
653,2,1
8422,2,0
2564,1,0
3643,1,0
2101,1,0
3196,1,0
3221,2,1
3602,1,0
4704,0,0
8589,2,0
5030,1,1
6601,2,0
9728,2,0
8870,1,1
5715,2,1
8962,1,1
8431,3,0
2552,2,1
2157,2,0
9720,2,0
1589,2,1
6583,1,1
9763,2,0
5821,2,1
4828,1,1
570,1,1
2634,2,1
317,2,0
6186,2,1
6052,2,0
3303,2,1
2217,2,0
7473,1,0
5157,1,0
9531,3,0
9940,2,0
3959,2,1
8126,1,0
963,3,1
4595,0,1
5010,2,0
364,2,1
3087,2,0
1017,0,0
2981,1,1
9638,0,0
2398,1,0
1691,2,1
9510,1,1
4722,2,0
2057,1,0
3432,3,0
8618,1,0
6775,3,1
1154,2,0
6969,1,0
7121,1,1
2488,2,0
4995,2,0
526,2,1
1117,2,0
426,1,1
4297,2,0
3812,3,0
6880,2,0
6959,1,1
6216,0,0
3542,3,0
7842,3,1
5973,1,1
3638,3,1
9780,0,0
4840,2,0
1996,1,1
8228,2,0
4177,1,0
2888,1,0
7595,1,0
3416,2,1
8412,0,1
3390,1,1
6701,1,1
4646,2,1
2869,1,1
6961,1,1
785,2,1
5304,0,1
6477,2,1
6233,3,1
6399,2,0
406,2,1
8295,1,0
6379,1,0
7465,2,0
8540,2,0
2422,1,1
7985,1,1
917,2,0
61,3,0
5420,2,0
8588,1,0
7469,1,0
41,3,0
1849,2,0
3914,2,0
2478,2,1
1060,2,1
7758,2,0
791,3,1
2644,3,0
8343,2,1
7490,2,1
1511,1,1
6038,1,0
1526,0,0
1997,0,1
2640,1,1
8693,2,0
2218,1,0
7097,0,1
9554,3,0
3613,1,1
9017,3,1
5080,2,1
3121,2,0
7210,2,1
255,0,0
8611,1,0
3789,0,1
2109,1,0
250,1,1
421,2,0
2857,1,1
199,0,0
6753,1,1
9204,0,0
1375,0,1
4988,2,0
5524,2,0
5585,1,1
8619,1,0
8203,1,0
8286,2,1
7630,2,0
2038,1,0
3778,2,0
3709,1,0
9026,1,0
3159,1,0
3679,2,1
94,1,1
8307,1,1
845,1,1
3251,2,0
2480,1,0
6672,0,0
8960,2,0
4209,2,0
191,2,0
1521,2,0
3725,0,1
3614,2,0
254,1,1
1858,2,1
4530,2,0
774,1,0
2187,0,1
6056,2,1
873,1,1
1629,1,0
1148,1,0
2970,1,0
7729,2,0
3222,1,1
5960,1,1
3628,1,0
3973,2,1
1753,2,0
2071,1,1
206,0,0
721,1,0
3570,2,0
1823,0,1
9353,2,0
2991,1,1
5865,2,0
4847,2,0
1940,2,1
5775,1,1
477,3,1
1750,1,1
1623,2,1
7780,3,0
7774,3,1
752,1,0
5059,0,1
1300,0,1
6882,1,1
3014,3,0
449,1,0
9998,1,0
6297,2,0
1787,3,0
8179,2,0
9378,1,1
1255,2,0
9731,2,0
3929,2,0
8472,1,0
9472,1,1
2943,1,0
742,1,0
7460,3,1
7504,1,0
4800,3,1
6394,2,1
6759,3,0
9354,2,0
3005,1,0
5669,1,1
2854,0,0
5800,1,1
943,3,1
6960,2,1
8633,1,1
4600,2,0
5162,1,0
5516,3,1
1946,2,1
3311,2,0
9406,1,0
5448,1,1
6169,1,1
264,1,1
4431,2,1
8130,1,0
9733,1,0
4487,3,0
9626,1,0
2613,1,1
6447,1,0
7071,1,1
4027,2,0
7281,1,0
2098,2,0
3185,2,1
9866,1,1
1872,2,1
7563,1,0
1989,2,0
7458,1,0
3561,1,1
6588,2,0
694,3,0
8089,1,0
1709,0,0
8663,2,1
1976,2,1
5206,0,1
1094,1,0
9156,1,0
6702,2,1
1084,0,1
8357,2,0
9280,2,0
3792,1,1
4932,2,0
7530,2,0
9146,2,0
2787,2,1
8612,2,1
903,2,1
9068,1,1
6957,2,0
8929,1,0
851,3,1
4077,3,0
9985,1,1
4112,1,0
6848,3,1
1509,2,1
9457,3,0
7822,3,1
5014,2,1
1336,2,0
7890,3,0
7117,1,1
9921,2,0
8479,0,0
771,2,1
3469,3,1
3734,2,1
5649,0,0
3319,0,1
9205,2,0
8641,2,0
3920,0,1
7800,2,0
591,1,0
4857,2,0
9667,1,0
540,1,1
745,3,0
4804,0,0
3387,2,1
2700,2,1
8884,2,1
5170,1,1
2866,2,1
1028,2,1
6717,2,1
5445,2,0
876,2,1
9965,3,1
1550,1,1
7562,2,1
1404,1,0
3128,2,1
1348,3,0
6463,2,0
2818,3,0
2570,1,1
1414,3,1
3097,3,1
5424,1,1
7713,1,1
5125,1,0
16,1,1
4943,2,1
4934,1,0
2072,2,0
9088,2,1
9685,1,0
2189,2,0
751,1,1
6911,1,0
5696,1,1
3002,2,1
9526,1,1
8494,1,1
825,1,0
8828,3,1
5145,1,0
8505,2,1
5210,1,1
9503,3,0
1778,1,0
8713,0,1
9560,1,0
2357,1,0
1499,0,0
580,2,1
2263,1,1
3843,2,1
9570,3,1
5454,2,0
9021,0,0
3637,0,0
9240,1,0
6095,1,0
3114,2,1
5586,1,0
9833,2,0
7638,3,1
3705,2,0
4539,2,1
5196,3,0
1320,1,0
3022,3,0
2870,2,1
7251,2,0
9790,1,1
366,2,0
9824,3,1
3654,2,0
5717,2,0
5167,3,1
7000,0,0
7346,1,0
9438,0,0
7913,1,1
5138,0,0
9450,2,1
4890,2,0
1302,1,0
9288,2,1
9425,1,0
8252,1,1
678,1,1
8970,2,1
8061,1,0
804,1,1
6797,1,1
1819,1,0
5697,0,0
693,1,0
1271,2,1
7426,0,0
1422,1,0
6627,1,0
8814,0,1
3386,1,1
8157,1,1
1524,2,0
2904,1,1
2265,3,0
2258,2,0
4309,2,1
1653,1,0
4806,2,0
705,2,1
686,2,1
4316,2,0
9995,2,1
2554,1,1
1193,2,1
8282,2,1
8122,2,0
363,2,1
611,1,1
1680,2,0
9031,2,1
9846,1,0
9773,1,0
2744,1,0
121,0,1
4528,0,0
1784,2,0
8634,2,0
6875,0,0
4945,0,0
1282,2,1
7358,1,0
834,1,0
8655,1,1
4468,2,1
6591,1,1
3712,1,1
7416,1,0
7033,3,0
8990,2,0
8439,1,1
522,3,1
589,2,1
4154,1,1
5567,0,0
2774,1,1
3681,3,1
2415,1,1
4211,2,0
8032,0,1
1019,3,1
4723,2,1
8087,1,0
2399,0,1
1584,0,0
4475,1,0
2060,1,0
9609,1,0
9518,1,1
6803,2,1
2606,2,1
8580,1,0
6337,2,0
1871,1,1
2772,2,0
7239,2,0
8931,0,1
8063,2,0
7181,2,0
9097,2,1
643,1,1
8745,1,0
7796,2,1
711,2,0
2371,2,1
9556,3,0
9023,1,0
2514,3,1
7439,1,1
803,3,1
1442,3,0
2790,2,1
2987,2,0
3202,3,1
5912,2,0
