,R,Q,A
7552,2.4871860762997233,2,1
1329,4.81392739230757,1,0
8489,6.753875390199939,2,1
3232,1.114356140192097,1,1
8930,5.690707983524059,0,0
1836,2.0788974341776614,0,0
534,1.9960329587234258,2,0
4480,0.15712535926529103,2,1
5762,15.211790484510548,0,0
4915,1.3800973602885234,0,0
5920,3.219418166550059,3,0
1089,9.652800641285406,1,1
194,9.807281728659609,2,0
9543,10.190535346591215,2,0
5817,-0.5753912442810312,1,1
8199,6.552886618609014,3,0
8596,2.485117460697131,3,1
7141,1.7444705310615358,1,0
455,8.131125615351932,3,0
3596,7.154933366857412,1,0
7639,7.765352439472192,2,0
4875,0.9262891119340897,2,0
3755,6.1629063241373,1,1
639,2.7801468207990236,2,1
5135,1.5863024239141081,2,1
7006,1.7925214054117615,2,0
5932,4.659229254223032,1,1
5191,5.429072827431453,0,0
5298,-0.3037876979730958,3,1
3053,0.6316851740357365,0,1
3411,-0.3749762149183795,1,1
4901,0.09118330024410515,1,1
1840,5.075334818232264,2,1
2315,3.3148728480093164,1,0
4482,7.625260333826841,1,0
9320,11.720991399074894,0,0
6811,8.629695776597211,3,0
52,7.449317180722751,0,1
7312,2.351127100708551,1,1
997,1.4320743718847084,2,0
4400,0.3994492489268664,1,1
2441,-1.2122124365685285,2,1
8284,5.663808915493981,0,1
6257,1.8592476273534169,2,0
4953,3.4040305166451743,0,1
4499,-1.1974021297944033,0,1
965,8.44194982855829,1,0
1155,3.8037951146559177,2,1
5611,2.985056370799521,3,1
9099,1.5911751478876879,1,0
5347,4.975909985218208,2,1
6174,4.507828826370088,2,0
7178,8.856483178936536,2,1
4106,3.3501712427338877,1,0
609,1.7963877524371175,2,0
4833,8.000231060063973,1,0
1581,0.9958895831362939,1,1
7301,7.524240486693285,3,0
6194,2.617732409376843,1,1
957,6.083407138405072,1,1
1195,-1.0458258297297183,2,1
329,0.023765414726676592,3,1
172,1.0471317518963104,0,1
2578,5.100224822255026,2,1
7306,19.088834865859045,1,1
8039,2.6284555351909114,1,0
9973,-0.18325317768480032,2,1
7124,0.7531304385997993,1,0
6278,2.9233697529555,1,1
652,4.359203381022559,2,0
3996,2.558026919508821,2,1
5689,0.9176299942206954,3,1
4516,7.9481257632416185,1,1
2681,7.0958241913321345,2,0
5355,3.4140377685285923,2,0
8551,5.954983117691904,2,1
6130,1.5047965020694378,1,1
3112,2.4710795027807193,3,0
3218,11.215788976198168,3,0
8953,2.482142190056888,2,0
7229,-1.288766669532413,2,1
6586,1.3869559508951825,2,1
4640,2.8751665110081293,1,1
6271,2.7287523856517053,2,0
7845,7.55624383760213,2,0
6980,12.33331989329296,1,0
4535,10.306991830023305,3,0
7980,2.101893971606625,1,1
176,0.42751581149656914,1,1
8053,12.028737832737999,2,1
3276,11.416900810853635,2,0
4030,8.092288893932983,1,1
8304,3.7905049801710335,1,0
1722,1.715210963760636,1,0
5389,10.813235819194347,2,1
5488,8.66526565087419,2,1
4872,2.6429208861916598,2,0
9118,4.208519436826775,2,1
8840,7.161341985396767,2,0
5886,11.544160023534044,3,0
6261,10.023208012368102,2,0
7816,7.406876620640773,2,1
8536,1.9027723816544668,0,1
6155,7.700847517965473,1,1
2842,2.7693230604468635,1,0
4066,-1.3481982537201014,0,1
2041,9.006869976671394,1,0
7696,9.871301360590126,2,1
549,3.8003970100741533,3,1
2726,-1.5906436429113369,1,1
8507,10.321741245590115,1,1
6966,1.4987910081723805,2,0
4100,6.22705333001963,2,0
1257,7.2815090403887055,2,1
5579,6.18998730003096,1,1
5436,1.26417167443707,1,1
1258,1.541025827750917,2,1
7383,10.035572897196772,1,1
6544,-0.40347961732357707,1,1
1285,6.032969394525466,1,0
7527,13.43422913618902,2,0
6492,10.584090593555104,1,0
5574,2.1337961971525132,2,1
9480,4.266563605348793,2,1
2494,6.474101613031678,2,0
1621,3.8785342741240605,0,1
320,3.3429144731359592,2,1
3806,32.90495967743729,3,1
7827,12.793478599506631,2,0
5990,6.393239867227418,3,0
3063,3.7514666572652455,2,0
9822,3.788151257420374,2,1
8696,3.2610115323826907,2,0
1224,5.074526264638501,1,0
2721,4.940617922532109,2,1
6209,1.3795578269860171,2,1
855,4.54314106840093,2,0
5402,6.395025466525041,0,1
7882,5.40947846224868,2,0
6031,9.556331870827186,1,1
9745,9.592600934337689,0,1
9945,0.6840441229123626,2,1
2549,10.921869743578451,1,1
9356,19.51107945433754,1,1
9276,3.572059369385032,1,1
7690,1.2390362541670532,2,1
5672,4.759863409682231,2,0
831,2.9906415933251003,2,0
6411,12.443917307494022,1,0
8511,4.787774350232784,1,0
6479,7.2170177940887985,1,1
1201,5.485875940737937,1,1
2572,0.49199227086332886,1,1
6341,0.9065534236147914,0,1
5700,15.367452976771919,2,0
9052,5.31570513902637,2,0
2387,3.029986606896172,1,0
1939,0.31499295698744145,2,1
7692,11.400818211766563,3,0
1479,5.688070354748798,1,1
9203,5.5870223792771005,1,0
3968,4.689483850106129,2,0
7825,6.143590193376049,1,0
3696,3.158640471877147,1,0
2096,5.734547585954315,1,0
9208,6.343567379333551,0,0
9091,7.258347810033795,3,1
6915,3.0764692078905185,3,1
6406,4.160175040700341,1,1
4045,5.9961804211175975,2,0
5407,1.9579137667674482,2,0
9933,8.770346284416533,0,0
9161,0.42712368467902095,1,1
7727,1.5399766821480938,2,1
6817,5.028693421447393,2,1
3243,2.920378921359864,2,0
2562,-1.4500572440550652,0,1
7594,2.436614652074498,2,1
2058,7.181824243602168,1,0
808,9.127847567753562,2,0
1022,5.303591340532131,2,0
3161,4.705504500241849,1,1
8576,5.885406320716898,2,0
7701,2.3900475731709516,2,0
5974,4.1126167244089835,3,1
4913,-0.14040446915321114,1,1
5025,7.553260493538589,2,0
2372,-0.88899845042297,1,1
2963,2.250299869441227,1,0
8974,6.124884298819913,2,0
530,4.607843547256029,1,1
2017,-0.19258277340790841,2,1
7637,-0.037569538636764044,0,1
6888,6.422891918220813,3,1
2813,0.7344100359331467,1,1
567,4.102483023934838,3,0
8787,0.7420335909001503,1,1
9867,8.205091686025888,1,0
5053,2.6404719324312387,2,1
9577,2.393452907804053,3,1
6562,1.4199195193932868,1,1
9962,-0.7912354742787548,3,1
2064,3.6976905688846404,0,0
8080,0.7637171161994409,1,1
3804,13.759675210664229,1,1
9590,3.765910864933776,1,1
2922,1.1556450948738106,1,0
7118,0.5855668636718399,2,1
5682,2.0392044346030325,2,0
2320,3.440435734988684,2,1
8898,3.459798637715478,0,0
9581,-0.7322602409465064,3,1
3236,3.2499555297189335,3,0
640,10.620160459245263,2,0
8656,5.922030159037485,1,1
9344,5.055400731860892,3,1
9766,1.3210918617980076,2,0
5033,4.02723742153071,2,1
4093,1.7681531434816073,1,0
4136,0.8351850595433628,0,1
8823,3.074962518951951,1,1
801,5.236008633044903,0,1
5948,4.309076663452827,2,0
5158,-0.8511144509442736,1,1
9532,3.671145067784292,1,0
3398,6.364107749629291,1,1
5897,4.558887793105619,1,0
4918,5.71631685915392,2,0
166,12.00143141616952,1,1
7430,-1.2007443413919718,2,1
3286,2.7065327646392596,2,0
2178,1.0259963373576397,1,1
4607,5.541533271301759,0,1
521,4.0293859401502985,0,1
7984,-0.6285121262021061,0,1
4252,2.101944758273409,1,1
1842,6.979849332286133,1,1
3777,2.619616389566753,2,0
3836,9.347357575543871,1,0
9292,2.4462012160412367,3,1
9194,-0.024041275291823094,2,1
1159,7.708615996245248,2,0
5807,2.680985299595214,3,0
4681,-0.6542882465256779,2,1
3568,9.934383925431078,1,0
8968,10.8541964048755,1,0
8714,9.154054317768558,3,1
6316,5.248327693921674,1,1
4803,5.589023185580591,1,0
2356,-1.430440183274004,1,1
8132,5.4555985200712565,2,0
6098,15.210217450137673,1,0
213,6.722774377717734,1,0
1176,2.1658660947988215,1,1
8944,2.2979419982879676,0,1
1286,5.737163441883418,2,1
7762,3.8292073392106207,2,1
2753,-0.35254821058861774,2,1
3012,3.183749554975255,1,0
5296,-1.311734779680489,1,1
1118,3.87241233741734,2,1
3106,2.3757905754023385,2,1
5462,2.4205107777055046,2,0
2880,-0.12184360827111251,2,1
2035,2.6827199328005067,1,1
6489,-1.080201141916743,2,1
180,5.432308355434266,2,1
1374,8.413225713853432,0,1
939,3.63102693585558,1,0
1441,2.835972840439519,2,1
2828,14.684335413416953,2,0
5608,16.393996284204377,2,0
6366,8.869316813997997,1,1
6070,20.974865717021192,1,1
2812,0.7142285308929837,2,1
1435,2.797073498301697,1,1
7751,-0.22174117952537098,0,1
8154,5.641772043054328,1,1
1078,3.405703323665299,0,0
6828,2.2870384849691217,2,1
2226,14.097997723611577,2,0
2227,8.794458828351695,1,0
4215,2.04686308242231,0,0
787,1.3869455890758067,2,0
79,5.270271880824442,1,0
9186,17.385119453654873,2,1
4648,12.614164328276473,2,0
85,-0.4125858290975195,1,1
535,8.27581222746131,1,0
1140,1.8345500234704146,1,1
4377,10.719284106705562,1,0
9583,2.6918280240503014,2,0
4576,8.771693909115347,0,0
4388,1.6678276241803305,2,1
7666,2.1781650293604162,2,0
8949,4.040299577879864,1,1
8016,0.8410954375461461,2,1
1274,1.4084210583839827,2,1
8346,1.9093846204123341,1,1
495,6.190881482923267,1,0
888,2.8632275511574,2,1
7518,3.0539356115227427,2,0
7216,15.899099968488088,2,0
6555,-0.8257415218214121,0,1
5385,1.6268787348740261,1,0
9310,4.3013957094084105,1,0
1049,11.98533466516121,2,0
8958,0.5269764199719317,1,0
18,2.9479074368207936,2,1
3214,-1.7442523415237523,3,1
4382,16.334867832929966,0,1
4867,10.76380676862209,3,1
1571,9.664332255180526,2,0
7869,1.2419175309141726,2,0
5665,11.092736068283175,2,0
7356,7.815646634432412,2,1
7167,16.739245114417063,2,0
3123,0.831751961502823,1,0
6211,3.88203615943071,2,0
3509,11.726435468587603,2,0
1568,7.039532069520803,2,1
8040,7.681779785273196,3,0
3353,0.5693756554773763,0,1
7362,0.04722174790380196,1,1
4615,5.3673933752722505,2,0
6041,10.77001416214524,1,0
1126,-0.4276675762577695,2,1
8000,1.0859210805782382,2,1
573,10.613715813111355,2,1
3267,-0.16293871408509641,3,1
9494,0.7810504070097751,1,0
7351,1.1427015366150992,1,0
4781,7.192111087402875,2,1
8428,-0.22275643808662515,0,1
5271,16.86430992061012,3,1
6741,5.095023313572476,3,1
1501,4.65270484404784,1,1
8844,10.211977389062715,1,1
3315,8.993608199842528,1,0
687,1.9424517250133393,1,1
629,4.465578496530882,2,1
4944,1.9019444509523922,1,1
4337,-0.568017637941848,2,1
5214,4.844375844504735,0,0
4621,2.4075085906391775,2,0
5958,1.7377926353186934,1,1
4664,11.631814494474,2,1
585,5.310590741996732,3,1
6188,8.760931590403068,1,0
8052,4.95516888013346,1,0
6065,2.350375087188068,1,1
8038,5.581929983672849,2,1
7856,7.159973612468299,1,0
7799,7.454218558934761,0,0
6180,1.7664276518903805,2,0
1666,16.45327417770019,0,0
4742,4.381356927051601,2,0
3195,-0.4156047815533501,0,1
2515,2.1139295181451683,0,0
7274,5.366555176343169,2,0
2506,2.199334749569683,1,1
6829,1.1210803854399778,1,1
2396,10.113793051615863,2,0
6798,2.8763330222684553,1,0
433,3.750575114116373,1,1
2956,4.009425504359571,1,0
7009,2.2719531932112,2,0
9489,-0.5318140668607636,2,1
6089,2.8922713095644994,1,1
9395,7.202989244446248,3,0
1867,12.987496698780301,0,0
7764,18.214085589826063,1,0
724,0.5318642911462304,2,1
9448,11.186390583692992,1,0
8815,14.658377712961103,1,0
1974,3.9340862787486666,1,0
6520,1.027588254908288,1,1
6264,1.3335818577181224,2,1
1304,6.224284756560051,1,1
2234,9.550512714346466,1,0
8337,6.548387938840732,0,0
8921,2.7950282916975615,2,0
8310,8.322086972468629,2,0
3410,2.416169025840216,2,1
4,13.949143236691953,2,0
5646,5.643492642280319,0,0
3729,0.8702201966398355,1,0
8198,2.1274502461270206,1,0
6532,4.873712642934496,1,0
582,3.8063410242473292,1,1
9645,1.6083265740188697,3,1
875,4.1731439045591605,2,0
1473,2.2439182285162103,1,0
4408,2.412880900369721,2,0
3651,0.4739109451675958,1,1
6778,7.5762835850799135,1,1
9918,6.990268612487181,1,0
7474,2.9048106656732724,0,1
6633,2.352880220435967,1,1
8110,0.25493815818202625,1,1
1693,2.361665488343708,1,0
9830,2.756338316366111,2,0
5614,4.588602935419754,1,0
8698,2.6967311880054203,3,0
3310,8.924586963142414,2,1
812,5.152780389017704,1,1
1264,6.471041255736976,2,0
6172,2.1131167144947813,1,1
892,5.242709631027016,0,0
6080,-0.8877350490969778,3,1
1726,10.260676787294349,2,0
5759,13.860800946238353,2,0
7988,1.7225286015160899,2,0
9791,8.390211982618723,3,0
3443,3.7199359528838762,2,0
5316,8.73513443901375,3,1
8942,3.5789202114281107,3,1
2401,4.734581859585802,1,1
5336,3.9198559575144643,0,0
5155,4.294983614371334,1,1
8101,-1.16290654927091,2,1
1695,3.6187666934218683,3,0
6439,3.963703496156171,3,1
4503,6.087133901498313,2,0
5371,4.5253012060606554,1,0
8124,3.921290080651458,3,1
852,1.7536324710632103,2,0
5843,1.7456945022943304,0,1
9352,1.4539771688134024,0,1
3130,2.7908308445718477,2,1
4226,2.841898366164725,1,1
2875,5.601465394354106,3,0
2962,-1.0314091790766664,1,1
1929,4.218012172786558,2,0
8174,5.723191139900981,0,1
2719,14.607971064539669,1,0
7492,11.698796601910782,1,1
5122,5.520569582189525,1,0
7032,6.639922738382181,1,1
8345,5.1125656142510785,1,0
5784,3.4106067753469427,1,1
5478,10.453131474104701,0,1
8817,20.03618117048988,1,1
8342,1.7557725768280912,1,0
5954,3.2507220976994935,2,0
7876,1.072283247387959,1,1
6436,-0.5959342460120465,1,1
1788,1.8936442187149085,2,0
9251,2.811418547739126,1,0
7724,4.7025126386689555,2,0
6391,7.374576321463987,2,1
854,2.686566530692188,2,1
6498,2.3535148672155177,0,1
3721,3.3052800440975973,1,0
6879,8.079687211678698,0,0
971,4.9251646805895115,1,0
9758,-0.5882023688313074,1,1
2628,2.8402587622994977,1,0
6273,3.103742792064943,1,1
5368,3.5762765991372456,0,1
6148,16.190402532593126,2,0
7730,7.038334203880444,1,0
6120,6.351199241441732,2,0
9734,0.6424945176611727,2,0
6540,7.245082762574933,0,0
2094,7.022754489411006,1,0
44,2.862525894666712,2,1
9591,6.5371852536771,3,1
3272,11.11045725669483,2,0
4417,2.6646847634955493,3,0
3663,6.590702767203038,2,0
2966,4.298799380221186,3,0
1544,2.072001153904213,1,1
4813,2.1293717215864696,2,1
6122,1.1169988111567473,3,0
4914,4.535352589023383,2,0
494,3.6437351815320773,1,0
9966,14.11237382648001,2,0
9181,0.40608505514971016,1,1
6793,0.49307933843320484,1,1
668,2.6114822324498173,3,0
145,5.221902909777327,2,1
2005,6.488551019913093,1,0
5410,5.627398917625443,1,0
4275,6.302448217158467,1,1
9793,2.237213090436848,1,1
1133,5.224292851677634,1,1
7157,11.175867492443896,1,0
531,11.844340789777096,1,1
3423,1.736907477268136,0,1
4218,5.1126096063998485,1,1
5076,6.11610222544969,1,0
555,1.4633737211966062,1,1
4402,7.602429746221956,2,0
4573,0.6937023483024669,3,1
795,1.8514969671984485,2,1
3055,0.36266059526942573,1,1
8919,9.067415890194809,1,0
1593,0.4902816286492343,1,0
3143,1.7895345206906992,2,1
6985,5.788563388496319,2,0
9074,11.735632538164452,2,0
9121,0.4230025225265597,2,1
3343,5.692564858794782,2,1
7682,3.8632802551685614,1,0
8046,2.564025636225427,2,0
6992,4.771949878582432,2,1
8436,2.8853917839881777,1,0
5200,-0.7294780967632866,2,1
2495,2.2665283319715934,3,0
2761,6.292374376726405,2,1
5957,2.632248566534126,2,1
7817,4.408088126709835,2,1
3993,3.471191905035656,1,0
856,-0.010163435444098479,1,1
8248,12.002180222220833,2,1
9129,1.220224178086915,1,1
4884,-0.6440983998817713,1,1
1423,0.011478559525810006,2,1
140,2.877134751088927,1,0
5571,5.944979753975645,2,1
1612,3.2000356350240384,1,0
7122,1.4500006925238127,2,1
2430,7.049445538266939,2,1
9122,17.285950928435106,1,0
6564,11.239561873173942,3,0
9187,10.809411359988966,2,0
8107,0.6732303197204934,1,1
8390,0.959472120089675,1,1
5367,3.3481102294911538,2,0
7574,5.332478812947716,2,0
302,5.394663625371583,0,0
6525,1.3322422475436158,2,1
7066,4.495341586519821,3,1
8512,6.542234740125178,2,0
6551,4.449354670939767,3,1
1390,8.728278921849991,0,0
1760,1.827887624491526,1,0
3707,9.941030899257063,2,0
7529,8.909026901765543,2,0
1163,12.998770188437927,0,0
8262,-1.7334576963898505,2,1
6015,2.230816496088517,1,1
1132,7.081145643054015,2,0
6859,3.1627056488369103,2,1
1248,8.156956375244757,0,0
171,0.9552687136058782,1,1
778,3.338388098417573,2,0
2304,2.964111764140722,2,1
7803,0.8282174055173459,2,0
6189,0.6044056991029629,1,1
8899,9.079001918984797,2,0
12,13.095530602450586,2,0
2493,2.2324623468266727,2,0
31,1.6519564409759626,0,1
2899,6.827954476324404,2,0
2379,5.173776099243891,2,0
3266,7.941887751272699,3,0
6964,3.81727629709312,1,0
1243,-1.406983199240854,1,1
6334,5.3207340029173436,1,1
6077,2.3404860527558,1,1
5038,3.954277167206919,1,1
9803,0.37963930076699803,1,1
4711,7.613276629290565,2,1
8584,1.747742414428716,1,1
345,2.0865441104532656,2,0
5946,3.6350435194841957,0,0
8210,9.48497524276436,3,1
1062,8.214175336480174,2,0
7588,3.57883134349934,1,1
6240,6.9267645083657285,2,0
5215,7.380522040863177,3,0
8860,0.5479735147735711,2,1
2185,2.986238234186551,1,0
6421,9.454281177933478,2,0
6776,5.7682068127963015,1,1
915,10.457945218738674,0,0
2135,4.280791802234165,3,0
4331,11.550807524492946,2,1
6137,-1.3789227568217863,1,1
6363,4.526808436929096,2,0
9928,11.305042087955401,0,0
136,10.514437668084888,1,0
6156,1.3769289347370233,2,1
772,0.29643234596463586,0,1
5504,2.4393437766071795,1,0
9084,6.557207054554314,2,0
8281,0.9415003430788378,1,1
7685,12.243978850624536,3,1
9411,0.7227780412011806,1,1
1031,4.518515473161919,3,0
8728,3.592639793547576,2,0
1283,1.1455784949297587,1,0
951,0.04024432552528445,1,1
6869,5.0033918976371305,2,0
3347,2.015676535496767,1,1
4235,7.411820960934808,2,0
7786,7.674049000372852,1,0
919,10.143876612990704,2,0
5331,4.972695342595713,2,0
9041,5.58522526788467,2,1
6896,4.636997467625198,3,0
2193,11.849442242775227,2,0
4639,7.772124121637129,3,0
6990,4.075891255676856,0,1
6714,5.356571989915098,0,1
9807,7.411583922491123,3,0
9643,12.549395737498742,1,1
5212,5.205594131716671,1,0
6630,2.7402404949364096,2,0
5673,5.88359544391721,2,0
5705,-0.8103567770155768,1,1
1606,2.825795082691675,1,1
9305,-1.133565515557423,1,1
4188,1.0471605570522962,1,0
2860,3.55993751337012,1,0
5168,1.9005831837951277,2,0
21,-0.3944556611628798,0,1
444,2.7172254115124694,1,1
5233,8.37817588892187,1,0
6752,-1.1346465234865224,3,1
2522,1.5904454810962636,2,0
878,2.021735535186526,3,1
1072,-1.415539284059876,1,1
196,4.775848953166944,1,1
7602,0.19891295804363818,2,1
6878,8.565339916056224,2,0
410,3.455578013082209,2,1
318,6.579591191266082,1,0
6280,10.786296448526233,1,1
5311,4.1244263850937255,1,0
3891,5.005415132118932,1,1
5583,-0.9092070959724363,2,1
4169,1.7789832922617568,1,0
8807,3.5404972855383336,1,0
6576,1.3175886798022238,2,0
3933,3.368274822846992,0,0
1660,3.30612402094087,1,1
7959,7.4720778975964155,2,0
5769,0.3545004488856405,3,1
1614,6.152605829586239,2,1
2082,2.093901277960217,1,0
3733,0.13920324808807116,1,1
7580,3.94318196354517,1,1
5455,9.351977368128232,2,0
4084,6.227716621652505,1,1
3307,6.2829913291812405,0,0
8019,3.243740363639966,0,0
6983,-1.2303478925055766,0,1
4810,4.222031065189608,3,1
1522,11.757739907671002,1,1
2164,2.6689518345492864,3,1
9394,4.553667732276015,1,0
3845,5.953842628448986,2,0
5178,1.3763605528982095,1,1
4527,4.192916813143431,2,0
3401,2.2206996498320564,2,0
1960,-0.18773151433071877,2,1
2877,10.9715545665942,2,0
2768,14.096325790572607,2,0
5795,1.6236275253928634,1,1
8754,0.8743040851072578,2,0
1540,2.2443371212495364,2,1
9549,0.6730135974925973,1,1
2622,0.33478112117117753,1,1
356,0.5208449217779649,1,1
9245,6.07497528804722,2,1
4917,3.7111395316717517,1,0
1115,0.5160749867144268,2,1
3322,6.029681078715349,1,0
5782,2.9624098201585625,1,1
968,10.495578144080419,3,0
1678,3.774364100873103,3,1
7684,0.7358636676276051,0,0
6530,-1.3685070899191518,2,1
6982,13.254261699963,1,1
5328,5.835341147936319,2,1
1112,10.395374916144007,2,0
6207,-0.08004999354234066,2,1
5835,3.9432406113183474,1,0
7646,2.9357088010681687,2,0
2581,8.622126111833053,2,1
8920,7.71238713313627,0,0
418,3.797507280951539,1,1
7560,8.886114890038659,1,0
8498,4.519725364328062,3,1
1313,4.081605430184525,2,1
5294,7.192858951362771,1,0
8895,8.768160543024212,1,1
7917,0.3243065673927523,1,1
4251,-0.5899003656233088,1,1
5597,7.979588172466956,1,0
8791,2.2423109306381637,3,0
9278,6.107206999532462,3,1
8923,2.7836369703967794,2,0
484,1.2125296672571482,2,1
77,3.111801133326681,2,0
3546,5.155094460142558,1,1
4676,3.1430296830456808,0,0
6197,3.1340940133617545,2,0
7253,4.214821040564971,2,1
6229,4.802623850200369,2,1
8348,3.7897128766705697,2,1
8956,7.919420860521822,2,0
9794,4.560545423316235,2,1
7813,8.064048459354256,2,1
7268,2.6858013330934476,0,1
1655,2.5396488025075987,3,1
4605,-0.5740207193369522,2,1
4611,2.3196755205671904,2,1
5342,5.025405751706778,3,0
1397,7.433152911962127,1,0
373,14.123632356191784,3,1
2368,3.5117276300338096,2,0
3880,5.127477957124332,2,0
1327,6.077325611988418,1,0
7018,2.0424557518243396,3,0
967,0.1816573557477712,2,1
7291,1.3471410331350056,2,1
9363,-0.0476188466301104,0,1
5045,-0.4539623814259528,0,1
7170,10.888241922380402,2,0
5644,2.490567774476127,2,0
8965,-0.44984191177095756,2,1
502,5.917772648108545,2,0
8388,11.032734935445532,1,1
3758,13.643843782669377,2,0
3187,3.426814249557399,2,1
8372,6.0917874917824175,1,1
6861,-0.508386245296909,1,1
4205,8.412919802741976,2,1
6043,5.858134379845862,3,0
2220,3.2510496607990547,2,0
4208,8.254044658779844,1,0
6468,7.693347678246373,2,0
7015,3.8111923127232155,2,0
4669,1.8545151229530803,3,1
4578,16.659069153723948,2,0
8541,16.123484618563044,3,0
7883,0.9449136644428737,2,1
8680,13.990081563032309,2,1
9388,3.305664152505334,2,0
1364,2.744306431310224,1,1
889,0.6604468326341784,1,1
1864,3.7205016527538914,1,1
1742,4.583525048784622,1,0
8893,1.6286303346741418,2,0
4145,-0.9703015547774521,1,1
6602,-1.0024540291287014,2,1
8146,7.937377033394133,1,1
5241,4.094076911141485,1,0
6354,3.518762730273373,3,0
9901,3.7929293479257504,2,1
6567,2.5147824875869733,1,0
4549,3.849909548953343,3,0
3871,12.170604341775782,2,1
1718,14.495455028162366,3,0
465,7.2975668011639065,3,1
414,5.691383328759463,0,0
5918,11.314309729444805,2,1
9818,2.0793530781592757,1,0
9436,4.841791954651136,2,1
2024,3.731185359860116,2,0
1652,3.8144732660095526,3,1
9260,9.634910531488545,2,0
5447,8.834403194834298,2,1
4099,1.4488084075846857,1,1
6599,9.308070695919005,2,1
4873,1.3043624411915973,1,1
1210,3.750168917183654,2,1
4164,9.097382564898634,2,0
5310,2.987062835630401,2,0
5280,4.1172252280022,2,1
8300,5.652226641049044,2,1
4063,-0.5096698146389516,1,1
2560,1.1886304744570007,2,1
6142,6.593131034747081,2,1
2458,6.027403569236737,0,1
348,6.778237027764629,3,0
8824,2.346479762357114,1,1
3676,2.1790887545764663,1,0
3084,0.8330373113136411,2,1
8204,8.86376606667151,1,1
8562,2.3628025032456472,0,0
3201,-1.0229944386683287,2,1
760,4.179029541954932,2,0
8057,4.093680071191115,2,0
5020,6.389485459223618,1,1
5291,9.108682796416343,2,0
4651,2.530430989616251,2,0
9958,2.163812555906301,2,0
8724,9.115987416402056,2,1
7870,0.9811087326322694,1,1
